# Rime user dictionary
#@/db_name	jyutping.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	1656
#@/user_id	yongli-macbookpro
aa 	呀	c=6 d=0.724768 t=1656
dang 	等	c=1 d=0.0023461 t=1656
dat jin 	突然	c=2 d=0.543058 t=1656
dau hou 	逗號	c=1 d=0.0195457 t=1656
dau syu 	讀書	c=1 d=0.108609 t=1656
dei 	地	c=6 d=0.783588 t=1656
deoi 	對	c=1 d=0.0443785 t=1656
dik 	滴	c=1 d=0.00114197 t=1656
dik 	的	c=74 d=8.24054 t=1656
dik waa 	的話	c=1 d=0.0968105 t=1656
dim 	點	c=3 d=0.562065 t=1656
ding 	訂	c=2 d=0.110759 t=1656
dip 	碟	c=1 d=0.995012 t=1656
diu 	掉	c=1 d=0.00189223 t=1656
diu siu 	吊銷	c=1 d=0.229925 t=1656
do 	多	c=5 d=0.00579158 t=1656
do siu 	多少	c=1 d=1 t=1627
doi gaa 	代價	c=1 d=0.0023935 t=1656
dong jin 	當然	c=1 d=0.113042 t=1656
dou 	到	c=4 d=0.486502 t=1656
dou 	都	c=9 d=0.422724 t=1656
dou dai 	到底	c=1 d=0.474734 t=1656
dou hai 	都係	c=1 d=0.0116786 t=1656
dou jau 	都有	c=1 d=0.0108347 t=1656
duk laap 	獨立	c=0 d=0.0878095 t=1656
duk laap jat 	獨立日	c=1 d=0.882497 t=1656
dung 	懂	c=1 d=0.00263203 t=1656
dung 	董	c=1 d=0.0376283 t=1656
dung dak 	懂得	c=1 d=0.609571 t=1656
dung fong 	東方	c=1 d=1.00838 t=1656
dung ging 	東京	c=1 d=0.00489275 t=1656
dung maa 	凍嗎	c=1 d=0.00179994 t=1656
dyun 	斷	c=1 d=0.00431784 t=1656
dyun 	段	c=2 d=0.00528424 t=1656
dyun 	短	c=2 d=0.0088322 t=1656
faa 	化	c=1 d=0.00353515 t=1656
faa faan 	花瓣	c=1 d=0.00217658 t=1656
faai 	塊	c=2 d=1.98511 t=1642
faai 	快	c=1 d=0.000448321 t=1656
faai lok 	快樂	c=1 d=0.358796 t=1656
faan 	反	c=1 d=0.000617396 t=1656
faan 	飯	c=1 d=0.261846 t=1656
faan caa 	反查	c=1 d=0.000639387 t=1656
faan dim 	飯店	c=1 d=0.737123 t=1656
